epoch,train_loss,train_od_loss,train_sc_loss,train_dc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_sc_loss,val_dc_loss,val_label_loss,val_box_loss,val_od_acc,val_sc_cube_joint_acc,val_sc_cube_sten_acc,val_sc_cube_plaq_acc,val_sc_vessel_sten_acc,val_od_sten_per_class_acc,val_sc_sten_acc,val_sc_plaq_acc
1,5.754842005122853,2.4645259470421044,1.3374132261016949,0.6154896201365917,1.7892773305039622,0.6752486170143268,6.502783766839907,2.3863470175853467,1.6210834431719001,0.8742698641488389,1.833708485085462,0.5526385309080696,0.5468053221702576,0.8343239426612854,0.8519688248634338,0.8487184047698975,0.5750371217727661,"[0.8407079577445984, 0.5527950525283813, 0.0]","[0.9858613014221191, 0.2919931709766388, 0.06420021504163742]","[0.9858613014221191, 0.0, 0.3986486494541168, 0.022172948345541954]"
2,5.206874259195085,2.212181862780435,1.1830862511138796,0.6285199015953783,1.6916355219390768,0.5205463396969362,6.499765996055716,2.3555928606661563,1.6214838218971954,0.9012054926563795,1.8135635152414928,0.542029340605,0.5869241952896118,0.8366456031799316,0.8592124581336975,0.8571693897247314,0.6285289525985718,"[0.6637167930603027, 0.7515528202056885, 0.024000000208616257]","[0.9707046747207642, 0.37001702189445496, 0.27638736367225647]","[0.9707046747207642, 0.0011363636003807187, 0.5086872577667236, 0.2671840488910675]"
3,5.059615812522207,2.1689504230510717,1.1335588717875256,0.6235476419392784,1.6541775630860678,0.5147728602201967,6.499139059898761,2.403116949234235,1.602135194868999,0.8917517327767097,1.8050319975137004,0.5980849534892186,0.5988112688064575,0.8409639596939087,0.8593053221702576,0.8643202185630798,0.6002971529960632,"[0.8097345232963562, 0.5838509202003479, 0.25600001215934753]","[0.9819590449333191, 0.26814308762550354, 0.3873775899410248]","[0.9819590449333191, 0.0, 0.4343629479408264, 0.3891352415084839]"
4,4.973880635227188,2.1351909634294146,1.1005854818254373,0.637518697028906,1.6176318838392612,0.5175590789245473,6.374300366693151,2.2845802692701977,1.5979816036337562,0.893756895107756,1.7849252701513139,0.49965499836719357,0.5869241952896118,0.8322343826293945,0.8540583252906799,0.860419750213623,0.6329866051673889,"[0.8761062026023865, 0.40062111616134644, 0.5440000295639038]","[0.9670286178588867, 0.2872231602668762, 0.49075081944465637]","[0.9670286178588867, 0.007954545319080353, 0.614382266998291, 0.16740576922893524]"
5,4.897218736551576,2.116921887769874,1.0779576477315802,0.6243815599430331,1.611606790984081,0.505315095323038,6.370943936820554,2.3004029341904273,1.5843286220680712,0.901883765038114,1.8011117519186228,0.4992911842615739,0.5586923956871033,0.8342310786247253,0.8569372296333313,0.8619056344032288,0.6315007209777832,"[0.3097345232963562, 0.7981366515159607, 0.3919999897480011]","[0.9678769111633301, 0.30936968326568604, 0.4711643159389496]","[0.9678769111633301, 0.003409090917557478, 0.5994208455085754, 0.22505542635917664]"
6,4.808479879282962,2.0819827971380143,1.0575081637644834,0.6114807523744928,1.5776018482964422,0.5043809454740777,6.292433785401749,2.263090695047237,1.575030643083929,0.8792817813706327,1.7693619671490497,0.4937287255988984,0.6419019103050232,0.8423105478286743,0.8630200624465942,0.8675705790519714,0.6329866051673889,"[0.6946902871131897, 0.6832298040390015, 0.4399999976158142]","[0.9784526824951172, 0.31175467371940613, 0.40261152386665344]","[0.9784526824951172, 0.0, 0.49662160873413086, 0.39246121048927307]"
7,4.762383287320029,2.0735574960919085,1.0385905712642995,0.6116446462949201,1.5619221659072038,0.5116353309002973,6.409900829417062,2.329983010490146,1.5864979959029473,0.9069218196925495,1.792162854169172,0.5378201537674365,0.6329866051673889,0.8353918790817261,0.8572158217430115,0.8642273545265198,0.647845447063446,"[0.7920354008674622, 0.5776397585868835, 0.4880000054836273]","[0.9687252640724182, 0.3025553524494171, 0.48313385248184204]","[0.9687252640724182, 0.026136362925171852, 0.5415058135986328, 0.37472283840179443]"
8,4.731168836481491,2.0481933669981647,1.024971645493797,0.6330321778064478,1.5500299301903464,0.4981634363579422,6.247165443635482,2.2441460216080755,1.5704882576486832,0.8620429104442766,1.7523844302231197,0.4917615929988796,0.6344724893569946,0.8422176837921143,0.862602174282074,0.8671526908874512,0.6359583735466003,"[0.8805309534072876, 0.5496894121170044, 0.40799999237060547]","[0.9777174592018127, 0.3240204453468323, 0.367791086435318]","[0.9777174592018127, 0.005681818351149559, 0.5154440402984619, 0.34811529517173767]"
9,4.674388211725627,2.024299011476296,1.0039096939466936,0.6422698137213576,1.5366794051086836,0.4876196056993752,6.390670394331482,2.3361324623713506,1.569274488117999,0.9159889675743148,1.7820161892327782,0.5541162713256718,0.6270430684089661,0.8320950865745544,0.8533617854118347,0.8612555861473083,0.6389301419258118,"[0.7256637215614319, 0.590062141418457, 0.5440000295639038]","[0.9567356705665588, 0.32129472494125366, 0.5636561512947083]","[0.9567356705665588, 0.003409090917557478, 0.6259652376174927, 0.3669623136520386]"
10,4.677175524607722,2.044536724518248,0.9976367723501924,0.6373652603403576,1.5439044982615837,0.5006322235574072,6.394173542894312,2.2893179262427266,1.5801164502559855,0.9446227189695092,1.8029309189284237,0.4863870119349893,0.580980658531189,0.8151003122329712,0.8366456031799316,0.8500649929046631,0.6225854158401489,"[0.517699122428894, 0.5652173757553101, 0.7360000014305115]","[0.9366021752357483, 0.2947189211845398, 0.6441784501075745]","[0.9366021752357483, 0.028409091755747795, 0.56805020570755, 0.6031042337417603]"
11,4.593466228200386,1.9985929533923412,0.9803332335441926,0.634206800682123,1.5034218967634405,0.4951710572287356,6.318203911936955,2.2614100085521662,1.5666087625288467,0.9235763831025415,1.7533640150500334,0.508045989345726,0.6181277632713318,0.83330237865448,0.8515973091125488,0.8641344904899597,0.6329866051673889,"[0.8672566413879395, 0.4285714328289032, 0.656000018119812]","[0.9626173377037048, 0.2647359371185303, 0.5897715091705322]","[0.9626173377037048, 0.04772727191448212, 0.5, 0.5665188431739807]"
12,4.5440285019155615,1.979056499114439,0.9634633497966422,0.638045308495856,1.498150011256211,0.48090648577459116,6.19394494234985,2.2309206161725417,1.5573665660637424,0.8482911882131673,1.747888660218666,0.4830319605745618,0.6002971529960632,0.8419855237007141,0.8631593585014343,0.8656203746795654,0.6419019103050232,"[0.9646017551422119, 0.4627329111099243, 0.29600000381469727]","[0.9765863418579102, 0.32095399498939514, 0.41240477561950684]","[0.9765863418579102, 0.015909090638160706, 0.5448841452598572, 0.25609755516052246]"
13,4.544275389826399,1.979969289032795,0.9617246695883614,0.6408567670390726,1.479870388131736,0.5000988994856591,6.297599932560227,2.238718722977341,1.5707271038955326,0.9174269950708225,1.7563317087354575,0.48238701552417934,0.6463595628738403,0.8331166505813599,0.8545226454734802,0.8587945699691772,0.6433877944946289,"[0.8008849620819092, 0.5869565010070801, 0.5199999809265137]","[0.9615993499755859, 0.331856906414032, 0.46354731917381287]","[0.9615993499755859, 0.07045454531908035, 0.3817567527294159, 0.7084257006645203]"
14,4.45702444908267,1.937517534809892,0.9471906087345491,0.6251256995239837,1.4543492955413495,0.4831682410996176,6.214240800025555,2.233274296766219,1.5518877368298765,0.8771910264159523,1.7330199511893072,0.5002543454000433,0.6225854158401489,0.8409175276756287,0.8606054782867432,0.8682206273078918,0.6463595628738403,"[0.9203540086746216, 0.4192546606063843, 0.6079999804496765]","[0.9737586379051208, 0.281771719455719, 0.5321000814437866]","[0.9737586379051208, 0.020454544574022293, 0.41023164987564087, 0.6784922480583191]"
15,4.439275019523283,1.9288724835404316,0.9391858389174913,0.6320308587687501,1.4409188666765047,0.4879536151170394,6.29745416329947,2.2377942970315496,1.564631621278712,0.9303966180507083,1.7676779459775025,0.47011634751667963,0.5720653533935547,0.8330702185630798,0.8562871217727661,0.8600482940673828,0.6612184047698975,"[0.4203539788722992, 0.7018633484840393, 0.5120000243186951]","[0.954190731048584, 0.3734242022037506, 0.5146898627281189]","[0.954190731048584, 0.07386363297700882, 0.46235522627830505, 0.6951219439506531]"
16,4.3499920553406755,1.8847706309877506,0.9184860315800008,0.6282493623268217,1.3982083017853653,0.48656232991271603,6.228407245715223,2.211705046874479,1.5550129325170545,0.9066763422963173,1.7367655686171897,0.4749394754716126,0.6493313312530518,0.8391066193580627,0.8615341782569885,0.8654810786247253,0.6953937411308289,"[0.7345132827758789, 0.6366459727287292, 0.527999997138977]","[0.9600158333778381, 0.3935264050960541, 0.4613710641860962]","[0.9600158333778381, 0.07045454531908035, 0.49806949496269226, 0.6319290399551392]"
17,4.31163992734868,1.8736794169960638,0.9069713973598081,0.6240177160631444,1.39092004875321,0.4827593668695476,6.28550810488466,2.2394642115346755,1.5608286627676085,0.9243865609169006,1.7662967517750907,0.47316745770348995,0.5973253846168518,0.8378993272781372,0.8613020181655884,0.862695038318634,0.6805348992347717,"[0.4646017551422119, 0.7795031070709229, 0.36800000071525574]","[0.9595068693161011, 0.4156728982925415, 0.3949945569038391]","[0.9595068693161011, 0.11590909212827682, 0.49131274223327637, 0.5465632081031799]"
18,4.291654634410463,1.8657693327878113,0.9018269575774501,0.6222313948891173,1.378850417282685,0.48691891439359025,6.411869022188272,2.2431508522005394,1.5931955770498214,0.9823270157112212,1.7575194053904593,0.48563144672164577,0.6181277632713318,0.7910940051078796,0.818722128868103,0.8234119415283203,0.5542347431182861,"[0.5221238732337952, 0.7329192757606506, 0.4959999918937683]","[0.9023866057395935, 0.3860306739807129, 0.5908596515655518]","[0.9023866057395935, 0.3181818127632141, 0.5685328245162964, 0.353658527135849]"
19,4.234478360957514,1.8219232535000238,0.890473450962875,0.631608208013951,1.3490043149071897,0.47291893713534044,6.188502048526391,2.210833139518602,1.5522019456331384,0.8732650172109067,1.7384916597021085,0.47234148041342416,0.6448736786842346,0.8465824723243713,0.8681741952896118,0.8695207834243774,0.6909360885620117,"[0.8672566413879395, 0.6273291707038879, 0.2879999876022339]","[0.9744938611984253, 0.41260647773742676, 0.277475506067276]","[0.9744938611984253, 0.059090908616781235, 0.5588803291320801, 0.3159645199775696]"
20,4.195314262641099,1.8145849662359361,0.8726993950220656,0.6353305006244531,1.3429487864434255,0.4716361778667249,6.188039420266533,2.2048210934998376,1.548688118111132,0.8858420960273516,1.738415397593105,0.4664056946244367,0.6389301419258118,0.8409175276756287,0.8639487624168396,0.8653417825698853,0.7028231620788574,"[0.7168141603469849, 0.6645962595939636, 0.4320000112056732]","[0.960581362247467, 0.44463372230529785, 0.3438520133495331]","[0.960581362247467, 0.07954545319080353, 0.5752895474433899, 0.43126386404037476]"
21,4.130034003711942,1.782216110549562,0.8630598795042494,0.6216981319505406,1.308937472384686,0.4732786361759497,6.251999366884769,2.2024517699589716,1.5538625002614823,0.9418226107291723,1.7438452884068474,0.4586064725981622,0.6136701107025146,0.8138001561164856,0.8339988589286804,0.8508543968200684,0.6210995316505432,"[0.6415929198265076, 0.5931677222251892, 0.6159999966621399]","[0.9316819310188293, 0.29676321148872375, 0.6702938079833984]","[0.9316819310188293, 0.14318181574344635, 0.6052123308181763, 0.521064281463623]"
22,4.102818468964453,1.7681136551618282,0.8534384162999206,0.6278279892439917,1.303072671119208,0.46504098477399786,6.346748401573929,2.2547716072122137,1.5653369904271928,0.9613028165140916,1.7652652076160873,0.4895064038188592,0.601783037185669,0.8116177320480347,0.839431643486023,0.8377600312232971,0.637444257736206,"[0.4955752193927765, 0.7515528202056885, 0.40799999237060547]","[0.9140368700027466, 0.5223168730735779, 0.41675734519958496]","[0.9140368700027466, 0.25795453786849976, 0.655888020992279, 0.32594233751296997]"
23,4.021126295787171,1.7260717327724933,0.8311429091789734,0.632768745869556,1.2597539711041155,0.4663177603055949,6.2350987539093286,2.209037442589372,1.549556864829021,0.9269475754715215,1.7503036058974903,0.45873383085522523,0.6136701107025146,0.8281946778297424,0.8549870252609253,0.8514580130577087,0.689450204372406,"[0.5442478060722351, 0.7639751434326172, 0.35199999809265137]","[0.9369980692863464, 0.5158432722091675, 0.3601740896701813]","[0.9369980692863464, 0.23863635957241058, 0.49662160873413086, 0.5875831246376038]"
