epoch,train_loss,train_od_loss,train_dc_loss,train_sc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_dc_loss,val_sc_loss,val_label_loss,val_box_loss,val_sc_cube_joint_acc,val_sc_cube_sten_acc,val_sc_cube_plaq_acc,val_sc_vessel_sten_acc,val_sten_per_class_acc,val_plaq_per_class_acc,val_od_acc
21,3.657953786953105,1.8850862181358734,1.2929084817326422,0.47995908997129483,1.3892032357372113,0.4958829813094883,6.822288214629765,2.2134628508140497,3.247312419846079,1.36151293371127,1.7045270759910787,0.508935771152952,0.8442607726597325,0.8705423476968797,0.8640416047548292,0.6686478454680534,"[0.9731059739070725, 0.4822513591301567, 0.2508038585209003]","[0.9731059739070725, 0.0, 0.5822368421052632, 0.3719262295081967]",0.6448736998514116
22,3.6062656802041086,1.8466211558855008,1.2909821425748746,0.4686623863566083,1.350697144791668,0.49592401053346064,6.639191914736694,2.182876878746893,3.1144255275896113,1.341889508046453,1.7020128077498529,0.48086407042221785,0.8457930906389302,0.8723532689450223,0.8634379643387816,0.6508172362555721,"[0.9791142137788967, 0.4812919731371922, 0.1832797427652733]","[0.9791142137788967, 0.0, 0.5695488721804511, 0.2786885245901639]",0.6523031203566122
23,3.612305456561978,1.847492278166152,1.2964205456848945,0.4683926374507452,1.3483393152058913,0.4991529656647794,6.576460655789701,2.1657015010935616,3.07516911475524,1.3355900346348477,1.690132198418637,0.475569301237869,0.850111441307578,0.8709138187221397,0.868081352154532,0.6478454680534919,"[0.9874685282673381, 0.4118963863127598, 0.22615219721329047]","[0.9874685282673381, 0.0, 0.45770676691729323, 0.47540983606557374]",0.6671619613670133
24,3.538045784940622,1.7825823516445498,1.2946549994528351,0.4608084331364417,1.2867065265703694,0.49587582474269265,6.562114119883461,2.2005260507147812,3.032844764188772,1.3287433063948544,1.6914509644494213,0.5090750842755909,0.8489041604754829,0.867802748885587,0.8664097325408618,0.6240713224368499,"[0.9893568322270543, 0.3917492804605053, 0.1864951768488746]","[0.9893568322270543, 0.0, 0.38862781954887216, 0.555327868852459]",0.6092124814264487
25,3.548188555596323,1.7861198702163463,1.3012025244369587,0.4608661537986028,1.2806370661230257,0.5054828032132996,6.600571063576537,2.169455461049292,3.0946570631304553,1.3364585323220544,1.6780479927091287,0.49140747682984576,0.8479754829123328,0.8676634472511144,0.8665026002971769,0.6210995542347697,"[0.9876401922636759, 0.42053086024944036, 0.1189710610932476]","[0.9876401922636759, 0.0, 0.4868421052631579, 0.3739754098360656]",0.6404160475482912
26,3.5249327429593937,1.781535140212887,1.2888534807854617,0.4545441204053876,1.2799718588027291,0.5015632828755441,6.739887086149493,2.1827662167987767,3.2063627674600843,1.350758114978892,1.69757539334566,0.4851908132389674,0.849925705794948,0.8723997028231798,0.8695672362555721,0.6835066864784547,"[0.9823758297093156, 0.4435561240805884, 0.2497320471596999]","[0.9823758297093156, 0.034518828451882845, 0.49953007518796994, 0.47438524590163933]",0.6671619613670133
27,3.489511665907862,1.7413052526306911,1.2989038428772468,0.4493025696420737,1.2578168474126272,0.48348840541537785,6.683501396405591,2.181106541206292,3.1550767379274,1.3473181250541075,1.6791268852415,0.501979652736944,0.8446786775631501,0.8703566121842496,0.8652953194650818,0.6612184249628529,"[0.9727626459143969, 0.5097537575951391, 0.1607717041800643]","[0.9727626459143969, 0.010460251046025104, 0.5925751879699248, 0.3729508196721312]",0.6760772659732541
28,3.457984430308975,1.7093909209856228,1.3076560099436219,0.4409374985091637,1.2203638073582121,0.4890271132117358,6.547236799132576,2.163986481615627,3.050926569307593,1.332323739365937,1.6810474982954982,0.4829389763338276,0.8491363298662704,0.8697529717682021,0.8677563150074294,0.6389301634472511,"[0.9856374456397345, 0.41989126958746403, 0.20685959271168275]","[0.9856374456397345, 0.005230125523012552, 0.47133458646616544, 0.4661885245901639]",0.674591381872214
29,3.429424053405301,1.694934965979333,1.2997337575557268,0.43475532265545114,1.2001578803935502,0.4947770887270233,6.568049592151133,2.1693392061691963,3.0606736111004205,1.3380367738203054,1.6939234539026322,0.4754157560250172,0.843657132243685,0.868267087667162,0.862462852897474,0.6344725111441307,"[0.9796864271000228, 0.48289094979213304, 0.07288317256162916]","[0.9796864271000228, 0.0020920502092050207, 0.5695488721804511, 0.24487704918032788]",0.674591381872214
30,3.3931820522858973,1.660974422003334,1.297667473775603,0.43454016033074316,1.18333461083724,0.47763980993748467,6.5736708301464954,2.165925814065452,3.073341703556412,1.33440330721858,1.6778768014483352,0.4880490161102674,0.8478361812778603,0.8709138187221397,0.8671062407132244,0.6478454680534919,"[0.982318608377203, 0.4665813879117365, 0.13933547695605572]","[0.982318608377203, 0.0041841004184100415, 0.5455827067669173, 0.35040983606557374]",0.6775631500742942
