epoch,train_loss,train_od_loss,train_dc_loss,train_sc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_dc_loss,val_sc_loss,val_label_loss,val_box_loss,val_sc_cube_joint_acc,val_sc_cube_sten_acc,val_sc_cube_plaq_acc,val_sc_vessel_sten_acc,val_sten_per_class_acc,val_plaq_per_class_acc,val_od_acc
1,4.138665029642272,2.6790638668199547,0.7183166599627269,0.7412845096524573,1.991851224979691,0.687212644139631,6.350825894126553,2.3700354498996226,2.611608999065546,1.3691814423314896,1.8138018659031356,0.5562335801938167,0.8115248885586924,0.8115713224368499,0.8115248885586924,0.337295690936107,"[1.0, 0.0006395906619763352, 0.0]","[1.0, 0.0, 0.00046992481203007516, 0.0]",0.35809806835066865
2,4.3151950047346155,2.412522454214635,1.275700646899851,0.6269719035635666,1.860481745863365,0.5520407069674403,6.704584626840201,2.2792507523245202,3.0527959075101405,1.3725379712503814,1.7763331467037031,0.5029176051786463,0.830191307578009,0.8548941307578009,0.8456073551263001,0.537890044576523,"[0.9822041657129778, 0.3984649824112568, 0.0]","[0.9822041657129778, 0.0, 0.49154135338345867, 0.0]",0.5230312035661219
3,4.285344723822538,2.3501884827000947,1.337930607604189,0.5972256350559892,1.8174144921582298,0.5327739889423052,6.697293465498293,2.288405192004467,3.046703895404714,1.3621843841026373,1.7719358495859434,0.5164693404066456,0.8315843239227341,0.8556370728083209,0.8474647102526003,0.5319465081723626,"[0.982318608377203, 0.40294211704509114, 0.0]","[0.982318608377203, 0.0, 0.5093984962406015, 0.0]",0.5735512630014858
4,4.229174926477132,2.3242520100968536,1.3190778513454784,0.5858450594771191,1.7911018263548613,0.5331501820529837,6.68291047348113,2.271927518377672,3.0557531341247106,1.3552298273460095,1.767954859959973,0.5039726610154532,0.8344167904903418,0.8594446508172363,0.8505293462109955,0.537890044576523,"[0.9850652323186084, 0.4138151582986888, 0.0]","[0.9850652323186084, 0.0, 0.5178571428571429, 0.0]",0.6017830609212481
5,4.134235542920013,2.2740450127071328,1.284534819934538,0.575655705842721,1.741294969930866,0.5327500442232368,6.6160725471881445,2.2590581879063953,3.003124701870655,1.353889657764831,1.7569970946637388,0.5020610956303797,0.8352526002971769,0.862277117384844,0.8517366270430906,0.5616641901931649,"[0.9844357976653697, 0.4368404221298369, 0.0]","[0.9844357976653697, 0.0, 0.5352443609022557, 0.0]",0.5839524517087668
6,4.054932867171569,2.239063867862405,1.2489089070172128,0.566960093604748,1.7257738049789253,0.5132900618706003,6.501069719784337,2.258447730576603,2.8982779102438636,1.3443440980656565,1.7637364372655262,0.4947112952566288,0.8337202823179792,0.8542904903417533,0.8470468053491828,0.5096582466567607,"[0.9932478828107119, 0.33258714422769425, 0.0]","[0.9932478828107119, 0.0, 0.41541353383458646, 0.0]",0.5364041604754829
7,4.034701698454423,2.2437752827654704,1.2341269776803878,0.5567994352895766,1.7420440591861215,0.5017312268547629,6.6345789100013075,2.266903446760659,3.0147961728296933,1.352879290057219,1.7620917289830103,0.5048117174681287,0.8348346953937593,0.861719910846954,0.8518759286775631,0.5690936106983655,"[0.9829480430304417, 0.44131755676367124, 0.0]","[0.9829480430304417, 0.0, 0.5488721804511278, 0.0]",0.6047548291233283
8,3.9489172578573566,2.1896054700206395,1.2104296161882622,0.5488821683039804,1.687452123042638,0.5021533460098472,6.539413214437332,2.236983933151653,2.960486308049731,1.341942982433104,1.7555656001546616,0.4814183335275961,0.837202823179792,0.8616734769687965,0.8529439078751857,0.5601783060921248,"[0.9894140535591669, 0.40102334505916215, 0.012861736334405145]","[0.9894140535591669, 0.0, 0.5014097744360902, 0.011270491803278689]",0.5661218424962853
9,3.934752770073417,2.1651811244986994,1.2276498574637256,0.541921789524419,1.6762139364172004,0.4889671871528072,6.659115276280072,2.2306356875762035,3.0765232827613898,1.3519562925004818,1.7527233574439935,0.4779123261305628,0.8397102526002972,0.8658989598811293,0.857122956909361,0.6032689450222882,"[0.9850080109864958, 0.4259673808762392, 0.10932475884244373]","[0.9850080109864958, 0.0, 0.5328947368421053, 0.11372950819672131]",0.6404160475482912
10,3.967371422029232,2.1734116005021975,1.2618758573938729,0.5320839651670876,1.6802891392029276,0.49312246220165307,6.713729525885879,2.2456200706498914,3.107877395273316,1.36023205359541,1.766079474981178,0.47954059483964295,0.837760029717682,0.8654346210995543,0.8548476968796433,0.5943536404160475,"[0.9840924696726939, 0.4585865046370323, 0.006430868167202572]","[0.9840924696726939, 0.0, 0.5667293233082706, 0.006147540983606557]",0.6285289747399703
